Project,Relation Type,SATD A,SATD B
Tinkerpop,No Relation,"[2015-01-12 12:57:44][Marko A. Rodriguez][commit][5dc5ec2905e9413d43d494b2e96c8548e5a461d8]
added until(traversal) and emit(traversal) with the predicate being traversal.hasNext(). Updated the docs with examples and provided a new test case to RepeatTest (though more should be added). Fixed #471.
","[2016-10-21 17:00:49][Marko A. Rodriguez][issue:comment][TINKERPOP-1506:15595686]
So, we could make it so that {{next()}} returns the result from {{hasNext()}}. However, the way {{BranchStep}} is implemented (for which {{ChooseStep}} is a subclass (for which {{optional()}} is implemented with)), the selection traversal is not the same as the branch traversal. Where the former is a ""local child"" and the latter, a ""global child."" Thus, {{optional()}} uses {{clone()}} to get a selection and branch traversal. We could always write an {{OptionalStep}} which would do as you recommend and in fact, this might be the best way forward."
Hudi,SATD Duplication,"[2020-10-01 14:25:29][Mathieu][code-comment][1f7add92916c37b05be270d9c75a9042134ec506]
 TODO(vc): This needs to be revisited
","[2020-09-27 18:18:11][vinothchandar][pull:comment][1827:495599940]
this is a problem. it changes behavior and needs to be reworked."
Myfaces Tobago,SATD Repayment,"[2016-12-14 12:52:06][Udo Schnurpfeil][commit][a8ff2ce7917ab6f5c633c4dce204a8d37a9abe0c]
TOBAGO-1652 Improve code coverage of enums
* add test for TobagoClass - deprecated enums will be ignored
[developed by hnoeth]
","[2016-12-03 07:54:47][Udo Schnurpfeil][issue:summary][TOBAGO-1652:13025307]
Improve code coverage of enums"
Helix,SATD Duplication,"[2020-07-15 13:01:23][Neal Sun][code-comment][c7a97bdce66b21dab5522a4f100d08054ada99c2]
 TODO: We dont need this in the future when TF is not relying on IS/EV anymore.
","[2020-06-23 21:41:50][dasahcc][pull:comment][1076:444525028]
You can mark a TODO here. We dont need it in the future since TF is not relying on IS/EV anymore."
Beam,SATD Repayment,"[2019-11-19 09:39:42][Etienne Chauchot][code-comment][f9ecf1f1ad73f8bcadfb618a51d8931ec7935c83]
 applying a groupByKey avoids for some reason that the spark structured streaming fmwk
 casts data to Row which makes it impossible to deserialize without
 the coder shipped into the data. For performance reasons
 (avoid memory consumption and having to deserialize), we do not ship coder + data.
","[2019-11-19 09:39:42][Etienne Chauchot][commit][f9ecf1f1ad73f8bcadfb618a51d8931ec7935c83]
[BEAM-8470] Apply a groupByKey avoids for some reason that the spark structured streaming fmwk casts data to Row which makes it impossible to deserialize without the coder shipped into the data. For performance reasons (avoid memory consumption and having to deserialize), we do not ship coder + data. Also add a mapparitions before GBK to avoid shuffling"
Lucene Solr,No Relation,"[2011-07-06 21:16:33][Steven Rowe][code-comment][9abc6a2912f97fdd4b3f8150c28c44e24b54a766]
*  Basic tests for TaxonomyWriter. Basically, we test that
    IndexWriter.addCategory works, i.e. returns the expected ordinals
    (this is tested by calling the fillTaxonomy() method above).
    We do not test here that after writing the index can be read -
    this will be done in more tests below.
","[2011-07-08 14:55:21][Robert Muir][issue:comment][SOLR-2452:13061999]
playing around with the branch, the whole situation looks so much better to me.

in my opinion we can then go and make other little improvements, make things faster, add new targets, in separate issues... so I think you should just commit before the patch goes out of date.

maybe we even encounter some serious grief, but I think we should just work thru this in svn.

great work!"
Calcite,No Relation,"[2019-04-17 13:47:06][zabetak][pull:comment][1020:276249367]
Maybe rename readType/writeType to iterateType/forwardType to be slightly more general? The rest of the text should be adapted as needed.
","[2019-01-30 18:48:16][Julian Hyde][issue:comment][CALCITE-2812:16756408]
It's a good start on recursive union, which is by far the most common and useful case for recursive queries. I want to give some thought to the terms ""delta"" (already used in the context of streaming queries), ""table"" (it seems more like a relation than a table), and ""recursive"" (as [~wmoustafa] says, it's more like iterative). And let's figure out how we can make this amenable to extension for other kinds of iterative query (do we need an ""iteration count"" field?)."
Trafficcontrol,No Relation,"[2019-12-19 14:32:43][ocket8888][commit][052f5e9626eff43aaa8d4728fef3d4559252359f]
Rewrote /user/current to Go (#3996)

* Rewrote /user/current to Go

* Update CHANGELOG

* add client method for updating current user

* add client/TO integration testing

* updated documentation

* Added Python client support

* Reworked PUT /user/current to behave like a PATCH

* Added built TO binary to gitignore

* go fmt

* Use API functions to write responses

* Remove unnecessary 'else'

* Changed method name

* fix typo

* simplify return

* Simplified password update

* More verbose parameter name

* JOIN clause now more appropriate for the schema

* relaxed restriction on password confirmation to match Perl
","[2019-11-01 19:28:57][ChrisHines][pull:comment][3996:341720076]
Which ever way you think the code is simpler and most clear. I personally think removing the `else` reduces the cognitive load of reading the code."
Systemds,SATD Duplication,"[2018-07-12 23:48:38][EdgarLGB][code-comment][8def2040be8e9704c8ee8083e8b949ffc0d74927]
TODO Add an additional physical operator which broadcasts the labels directly (broadcast join with features) if certain memory budgets are satisfied
","[2018-07-07 22:44:30][mboehm7][pull:comment][793:200823935]
Add a ToDo for an additional physical operator that broadcasts the labels directly (broadcast join with features) if certain memory budgets are satisfied."
Hive,SATD Repayment,"[2017-03-21 13:55:27][Sergey Shelukhin][code-comment][9f5a3e3d89db7d6f4754eb345ad9abb6997857e1]
 5. Release the copies we made directly to the cleaner.
","[2017-03-21 01:52:55][Sergey Shelukhin][issue:comment][HIVE-16180:15933968]
Simplifying the release logic - we can just remember the buffers in the beginning. Could be simplified even more by removing all the early release."
Kafka,No Relation,"[2017-08-22 23:55:03][hachikuji][pull:comment][3703:134629119]
It would be more concise to just store the config into a `transactionalId` variable and do a null check here.
","[2017-08-19 18:41:55][Jason Gustafson][issue:summary][KAFKA-5755:13096240]
We added a {{LogContext}} object which automatically adds a log prefix to every message written by loggers constructed from it (much like the Logging mixin available in the server code). We use this in the consumer to ensure that messages always contain the consumer group and client ids, which is very helpful when multiple consumers are run on the same instance. We should do something similar for the producer. We should always include the client id, and if one is provided, the transactional id."
Kafka,SATD Repayment,"[2019-09-17 09:46:40][vinoth chandar][code-comment][4962c8193e2faa589914be52962c701aba0980d1]
 If this is a permanent error, then we could spam the log since this is in the run loop. But, other related
 messages show up anyway. So keeping in debug for sake of faster discoverability of problem
","[2019-09-17 09:46:40][vinoth chandar][commit][4962c8193e2faa589914be52962c701aba0980d1]
KAFKA-8839 : Improve streams debug logging (#7258)

* log lock acquistion failures on the state store
* Document required uniqueness of state.dir path
* Move bunch of log calls around task state changes to DEBUG
* More readable log messages during partition assignment

Reviewers: Matthias J. Sax <mjsax@apache.org>, A. Sophie Blee-Goldman <sophie@confluent.io>, Guozhang Wang <wangguoz@gmail.com>"
Camel,SATD Repayment,"[2015-01-20 09:53:59][Claus Ibsen][commit][f7cbecbb43738a94bf37f856868f3685ad65896f]
CAMEL-8195: Add javadoc to model classes so we have EIP documentation out of the box
","[2014-12-30 10:04:09][Claus Ibsen][issue:summary][CAMEL-8195:12764171]
Add javadoc to model classes so we have EIP documentation out of the box"
Carbondata,SATD Duplication,"[2017-04-05 13:45:30][manishgupta88][pull:summary][735]
[CARBONDATA-870] Folders and files not getting cleaned up created locally during data load operation
","[2017-04-05 13:44:54][Manish Gupta][issue:summary][CARBONDATA-870:13061745]
Folders and files which are created in local temp store location during data load and insert into operations are not getting cleaned up. After some time this will lead to filling up of local disk space and eventually will lead to data load failure if threshold limit is reached.
For this all the folders and files created locally need to be deleted once the operation is completed."
Ozone,SATD Duplication,"[2020-11-19 00:58:54][smengcl][pull:summary][1601]
HDDS-4404. Datanode can go OOM when a Recon or SCM Server is very slow in processing reports
","[2020-10-28 17:54:07][Aravindan Vijayan][issue:summary][HDDS-4404:13337718]
Datanode can go OOM when a Recon or SCM Server is very slow in processing reports."
Ozone,SATD Repayment,"[2019-11-19 16:02:16][Doroszlai, Attila][commit][e5a3b0cf0ba9f4ce1c214e4aa31f008f37d4e018]
HDDS-2509. Code cleanup in replication package (#185)
","[2019-11-15 15:30:04][Attila Doroszlai][issue:summary][HDDS-2509:13268599]
Code cleanup in replication package"
Parquet Mr,SATD Duplication,"[2019-01-02 06:50:24][liupc][pull:summary][581]
PARQUET-1485: Fix Snappy direct memory leak
","[2019-01-02 06:33:41][liupengcheng][issue:summary][PARQUET-1485:13207220]
Snappy Decompressor/Compressor may cause direct memory leak"
Lucene Solr,No Relation,"[2016-04-01 12:21:59][markrmiller][commit][ce172acb8fec6c3bbb18837a4d640da6c5aad649]
SOLR-4509: Move to non deprecated HttpClient impl classes to remove stale connection check on every request and move connection lifecycle management towards the client.
","[2016-03-18 15:49:44][Oleg Kalnichevski][issue:comment][SOLR-4509:15201673]
One can override SSL configuration on a per request basis by setting a custom connection socket registry in the HttpContext of the request. 

http://hc.apache.org/httpcomponents-client-4.5.x/httpclient/xref/org/apache/http/impl/conn/DefaultHttpClientConnectionOperator.html#66

This however can potentially lead to SSL connections being re-used by another thread with a different user identity / security context, that is why we do not really advertise this feature.

Oleg"
Cxf,SATD Repayment,"[2017-12-15 12:47:02][Daniel Kulp][commit][97cde56cd73cb03ffb259f01446080fa7748ab8b]
[CXF-7591] Allow getResponseContext().clear() to clear out everything to reduce memory usage
","[2017-12-15 11:21:07][Luca Boncompagni][issue:summary][CXF-7591:13125184]
memory leak in ClientImpl"
Zeppelin,No Relation,"[2019-03-13 21:12:33][felixcheung][pull:comment][3331:265333667]
we can't hardcode the mirror
","[2012-07-22 23:40:58][Hari Mankude][issue:comment][YARN-3:13420366]
Relevant information would be the performance impact of running maps and reduces in cgroups in terms of latency. 

Overall, this would be a very useful feature since it is possible to add fencing around cpu/io resources in addition to memory usage for MR tasks."
Incubator Mxnet,SATD Repayment,"[2018-08-07 05:18:48][Anirudh Subramanian][commit][9dd5edd8e6ec28a97c6ba9bda51b2b9c7a88971b]
Disable flaky cpp test (#12056)
","[2018-08-06 23:10:52][anirudh2290][pull:summary][12056]
## Description ##
Disabling flaky test. Tracking here: https://github.com/apache/incubator-mxnet/issues/11998

## Checklist ##
### Essentials ###
Please feel free to remove inapplicable items for your PR.

- [x] Changes are complete (i.e. I finished coding on this PR)
- [x] All changes have test coverage:
- Unit tests are added for small changes to verify correctness (e.g. adding a new operator)
- Nightly tests are added for complicated/long-running ones (e.g. changing distributed kvstore)
- Build tests will be added for build configuration changes (e.g. adding a new build option with NCCL)
- [x] To the my best knowledge, examples are either not affected by this change, or have been fixed to be compatible with this change

### Changes ###
- [x] Disable test MKLDNNSum"
Arrow,SATD Repayment,"[2020-04-22 18:04:29][Wes McKinney][commit][7d8c2d32ce9fbc487778e491cb16c7f56dce3067]
ARROW-8512: [C++] Remove unused expression/operator prototype code

None of this code was ever used.

Closes #7013 from wesm/ARROW-8512

Authored-by: Wes McKinney <wesm+git@apache.org>
Signed-off-by: Antoine Pitrou <antoine@python.org>
","[2020-04-22 14:37:54][wesm][pull:summary][7013]
None of this code was ever used."
